Order Bias_Mean Bias_Error Bias_RMS
3 0.6984940189395246 0.12130616543849972 0.10101553510690833
4 1.0898409213555817 0.19336380936526426 0.07319622950165898
5 0.7426942422516138 0.17078035006372483 0.014573720863496755
6 0.6959733288857949 0.02990016624274996 0.01949831776246233
7 0.659285328337588 0.07669342473226348 0.20307680315327573
8 0.7587876471749854 0.04678004280302221 0.2900126469073492
9 0.35162595984120776 0.01287258836923305 0.05083582532969059
10 0.47704360945060315 0.012029551847965978 0.01557026372004792
11 0.68261664859776 0.01455767431155126 0.014644126685611061
12 0.2007731441649728 0.007594030831785651 0.014635378075145818
13 0.31836969473304394 0.010846698780480491 0.025857518059815003
14 0.17997150325790995 0.008810783934160672 0.015194050065507527
15 0.47387012400450956 0.012046660266589139 0.011021977483336318
16 0.19732620839567844 0.012289741970325577 0.02135284519448853
17 0.0981299276470332 0.009278378415534283 0.01027376541940084
18 0.13272391396388794 0.006988803229858417 0.016367078456765
19 0.15658341665227243 0.006910942982297299 0.013410580119702614
20 -0.41186999174062555 0.009927386807419772 0.022554463417413236
21 0.3895016642637558 0.0072100396118013 0.013649138805810996
22 -0.2350114405199734 0.0071264698119549 0.011656998392454558
23 -0.1280391472099856 0.008133675963389335 0.013022705024534892
24 -0.3426903477936269 0.006637396658836668 0.014556841028155642
25 0.17099347254469952 0.00648102632527753 0.01361078414456136
26 -0.36292105652011847 0.008223578424447268 0.006028896271220691
27 -0.06875644217701588 0.0072741239997960085 0.006754598715497711
28 -0.2337886684262688 0.005165072809926761 0.00463074067600057
29 -0.2166470100695585 0.006046841304531747 0.016383804207072177
30 -0.5714542133036576 0.008266136965682793 0.013989342904184215
31 -0.07522494045361076 0.004755182559328801 0.00557890524078919
32 -0.4610759223886012 0.00819010886850072 0.007731677110470237
33 0.021885867991616296 0.007399433329260499 0.011270310728350441
34 0.06879262865378814 0.0071913473566380445 0.017497719536305807
35 -0.1591590977385115 0.00442955848878832 0.025226182028237325
36 -0.5891748970415711 0.007330451653322965 0.00414556991436994
37 -0.05976510979949872 0.004009339629347535 0.00576613440001839
38 0.12539361906904453 0.0035254846241010466 0.0034612163648292463
39 -0.14597636732806052 0.007201504705521081 0.004381212607473034
40 -0.10522600786830912 0.0040250254579431355 0.003784121767139251
41 -0.24188690865415527 0.007921740265034193 0.011604025937771831
42 0.16320940368435538 0.005217373274485255 0.004456006160651703
43 -1.0532372750640098 0.1728721849682218 0.042303725133394365
44 -0.04825955764038411 0.005029850615432895 0.012259608770231087
45 -1.1817288089793117 0.12691816 0.0
46 0.6900732034067761 0.015108564721436846 0.0212544100283954
47 0.09550901546836954 0.005817962133328855 0.00544057778136137
48 0.4038877993878196 0.003498873254855751 0.003177591096432257
49 0.16997058515202412 0.004758249319252624 0.007366823800593256
50 -0.6625408808333147 0.011230722893854217 0.006102838035234202
51 0.3157352082329566 0.004948046851390325 0.010176335274035024
52 -0.40226596960039385 0.01622573709843766 0.14279443050089943
54 -0.19317984023551146 0.010579673891534616 0.03520638767986466
55 -0.2729562960104997 0.0073802396518677016 0.011556480796936788
56 -0.43383842352255814 0.006139171560850524 0.009575853482834532
61 0.44419368713932006 0.00896651401974499 0.05665634411749637
62 -0.20667159521799952 0.008452831837137919 0.024385698543745612
