chunk_key,bias_mean_kms,bias_rms_kms,n,bootstrap_mean_kms,bootstrap_std_kms
10_0,1.3703884977834768,0.0,1,1.370388497783477,2.220446049250313e-16
10_1,-0.8323853478100265,0.5807672954992918,13,-0.49196422119896505,0.20459703173342297
10_2,-0.2546566617858108,0.29449785459466915,73,-0.24173689668108453,0.058077269821951875
10_3,0.09949692804930488,0.30906919332407695,29,0.0428643802797073,0.07792430556487223
10_4,0.8339413772996251,0.11413891279383455,9,0.8119912983376971,0.07991807690236355
10_5,0.8558117290177988,0.19504645526676587,22,0.7239604059497694,0.08544911274074539
10_6,0.8809758488404547,0.18755387426037795,10,0.7158203043071137,0.09773432993619668
10_7,0.232574782159538,0.32849343494728506,7,0.023822492040596163,0.2175906041033591
11_1,-0.4432062821995533,0.5791015793099045,17,-0.2548464958005703,0.177236285162428
11_2,0.29330941546955436,0.42004374476683165,46,0.1415227537536192,0.09746649849330381
11_3,0.8907263389878698,0.3114014017353341,64,0.8494137015745613,0.06292154759231847
11_4,0.849182672108235,0.2799740179279741,48,0.7687167836479503,0.06453127757505818
11_5,0.3776124672791396,0.24259438784390847,4,0.23662757124553313,0.3301679361982389
11_6,0.22974271162513402,0.19569407312736375,9,0.465536732918179,0.13038942875019413
11_7,-0.8157970188004389,0.3815155370789451,7,-0.7427024060169475,0.16081706219372624
12_2,-0.5834283012295691,0.32936514678278855,55,-0.6446000391875042,0.06928129148256378
12_3,-0.26661184308702757,0.3015774531943598,34,-0.21949587910922336,0.09270409660951974
12_4,0.5962273725332854,0.33896450390506844,47,0.7156700896520181,0.06966970734185479
12_5,-0.47706996987594896,0.24018071971079383,47,-0.4074640610042601,0.05852324655963758
12_6,0.1622957920942734,0.3628436443787067,31,0.07724227784311222,0.09144782043425231
12_7,0.18642950493956612,0.0,1,0.18642950493956612,0.0
13_1,-0.9844036666554744,0.33729882415872786,14,-0.7820078904432378,0.11703507654489717
13_2,0.5579095097994745,0.33127223958726604,48,0.6047504316463901,0.06233551692916564
